Y	K	L
46266	2	2
58865	5.657601278	2
37392	2	3.998822729
107915	5.657601278	3.998822729
133026.0164	2	6.001443358
127848	10.38123656	2
154107	5.657601278	6.001443358
226500	10.38123656	3.998822729
146649	10.38123656	6.001443358
31448	2	2
70778	2	3.998822729
70658	5.657601278	2
118408.9986	5.657601278	3.998822729
90536	2	6.001443358
73843	10.38123656	2
159804	5.657601278	6.001443358
225099.9939	10.38123656	3.998822729
167678	10.38123656	6.001443358
88699	5.657601278	3.998822729
53852	2	2
