CT	TN	TNP	TS
976.4	1035.2	538.91081	5166.8
998.1	1090	550.94144	5280.8
1025.3	1095.6	584.42521	5607.4
1090.9	1192.7	600.47356	5759.5
1107.1	1227	633.22761	6086.1
1142.4	1266.8	649.29084	6243.9
1197.2	1327.5	660.841	6355.6
1221.9	1344	706.33424	6797
1310.4	1433.8	746.15401	7172.2
1348.8	1502.3	769.06176	7375.2
1381.8	1539.5	765.45964	7315.3
1393	1553.7	824.09476	7870
1470.7	1623.8	859.69484	8188.1
1510.8	1664.8	880.29376	8351.8
1541.2	1720	947.815	8971.9
1617.3	1803.5	966.31881	9091.5
1684	1871.5	1007.41676	9436.1
1784.8	2006.9	1072.43225	10003.4
1897.6	2131	1138.19044	10562.8
2006.1	2244.6	1142.2	10522
2066.2	2340.5	1234.63656	11312.1
2184.2	2448.2	1333.15136	12145.4
2264.8	2524.3	1294.679	11672.3
2317.5	2630	1300.93969	11650
2405.2	2745.3	1377.36684	12312.9
2550.5	2874.3	1507.51961	13499.9
2675.9	3072.3	1475.79025	13081
2653.7	3051.9	1361.52041	11868.8
2710.9	3108.5	1445.68361	12634.4
1100.1	1225	650.29084	6086.1
1140.4	1265.8	662.841	6243.9
1190.2	1325.5	705.33424	6355.6
1225.9	1340	740.15401	6797
