CS	Y
42065	48856
43636	48921
44994	50727
47521	50929
42667	51138
43979	49695
44492	50061
46362	49525
42364	49371
43657	49445
44940	51344
47318	49539
42264	47278
42981	47895
44484	48996
47754	51164
44845	50232
45560	52379
47574	53388
49531	54314
46356	53412
49318	55033
48664	55014
51326	58841
48272	55814
47527	56151
49480	56968
50546	56949
47483	56763
47892	55902
49457	55520
51179	55962
47360	55325
47842	55568
50190	55919
52588	56232
49438	55950
50081	57203
52852	57563
54561	58234
50653	57961
51526	58954
52830	58975
55950	61041
