LWAGE	GRADE	UNION
1.197540164	14	0
1.85306	14	1
1.344461679	14	0
1.433213353	14	0
1.568125129	14	0
1.699891	14	0
-0.7202626	14	0
1.669188	14	0
1.675962448	13	0
1.518398166	13	0
1.559190512	13	0
1.725410104	13	0
1.622022271	13	0
1.608588219	13	0
1.57238543	13	0
1.820333838	13	0
1.51596272	12	0
1.735379	12	0
1.63174367	12	0
1.998228788	12	0
2.18401432	12	0
2.266662	12	0
2.069944	12	0
2.873161	12	0
1.894115	12	1
1.471159339	12	1
1.47349751	12	0
1.740914226	12	0
1.823213696	12	0
1.908272862	12	0
1.742447376	12	0
2.135689	12	0
1.948774815	12	1
1.962259293	12	0
1.963296771	12	0
2.202515602	12	0
2.134954214	12	0
2.125822783	12	0
1.991016626	12	0
2.112393379	12	0
0.258554876	10	0
1.319971681	10	0
1.462085247	10	0
1.32028687	10	0
1.703646541	10	0
1.445803165	10	0
1.806364	10	0
2.148120165	10	0
1.737285495	13	0
1.989601	13	0
2.189916849	13	0
1.855463266	13	0
1.922437787	13	0
2.061024	13	0
1.782201648	13	0
2.414681673	13	0
1.208735347	12	0
1.194039702	12	0
1.170440555	12	0
1.097964525	12	0
0.7658162	12	0
1.119026	12	0
1.119366765	12	0
0.8314595	12	1
0.502470136	11	1
1.064912319	11	0
1.189498	11	0
1.539888501	11	0
1.598286	11	0
1.737320662	11	0
1.988456	11	0
2.158678532	11	0
1.005294	10	1
0.9376874	10	1
1.367487669	10	1
1.378008723	10	1
1.170183539	10	1
1.728221416	10	0
1.709864736	10	0
1.851074815	10	0
1.130545378	14	0
0.836248	14	0
1.467359781	14	0
1.071483612	14	0
1.445919514	14	0
1.685116291	14	0
1.686175	14	0
1.755130291	14	0
1.565692	14	0
2.493875265	14	0
1.822662115	14	0
2.380336	14	0
2.217128515	14	0
2.272031546	14	0
2.353798628	14	0
2.42945	14	0
1.918003201	11	0
0.7654077	11	0
1.978185415	11	0
1.948553681	11	0
2.037026	11	0
1.902574778	11	0
1.972603679	11	0
2.186982155	11	0
1.78447175	11	0
2.179982662	11	0
1.963865399	11	1
2.044932842	11	0
2.012861252	11	0
2.096985817	11	0
2.143966198	11	0
