avgsen;black;born60;durat;hispan;inc86;inc86sq;narr86;nfarr86;nparr86;pcnv;pcnvsq;ptime86sq;ptime86;tottime
17.6;0;1;0;0;0;0;0;0;0;0.38;0.1444;144;12;35.2
0;0;0;0;1;0.8;0.64;2;2;0;0.44;0.1936;0;0;0
22.8;1;1;11;0;0;0;1;1;0;0.33;0.1089;0;0;22.8
0;0;1;0;1;8.8;77.44;2;2;1;0.25;0.0625;25;5;0
0;0;0;1;0;8.1;6.561.001;1;1;0;0;0;0;0;0
0;0;1;0;0;97.6;9525.76;0;0;0;1;1;0;0;0
0;1;1;1;0;0;0;2;2;1;0.44;0.1936;0;0;0
0;0;1;3;0;0;0;5;3;5;0.75;0.5625;0;0;0
10.9;1;1;19.3;0;0;0;0;0;0;0.33;0.1089;81;9;21.8
0;0;1;0;1;16.7;278.89;0;0;0;0.23;0.0529;0;0;0
0;0;1;0;0;162.5;26406.25;1;1;0;0;0;0;0;0
31.7;0;0;0;1;0;0;0;0;0;0.17;0.0289;144;12;63.4
0;0;1;0;0;32.9;1082.41;0;0;0;0.33;0.1089;0;0;0
0;0;1;14;0;0;0;0;0;0;0;0;0;0;0
0;0;1;0;0;174.5;30450.25;1;1;0;0;0;0;0;0
59.2;1;1;4.3;0;14.3;204.49;0;0;0;0.2;0.04;9;3;59.2
0;1;1;18;0;0;0;1;1;0;0.38;0.1444;0;0;0
0;0;1;0;0;154;23716;0;0;0;0.5;0.25;0;0;0
7.9;1;0;11;0;0;0;0;0;0;0.6;0.36;0;0;23.7
0;0;0;0;0;100.3;10060.09;0;0;0;0.5;0.25;0;0;0
5.6;0;1;4.8;1;0;0;3;2;0;0.47;0.2209;0;0;22.4
4;1;1;0;0;16.2;262.44;1;0;0;0.17;0.0289;0;0;4
6.9;0;1;0;1;144.1;20764.81;0;0;0;0.22;0.0484;0;0;20.7
31.9;1;1;0;0;0;0;0;0;0;0.47;0.2209;144;12;31.9
18.7;0;1;5;0;0;0;0;0;0;0.36;0.1296;0;0;37.4
0;1;0;19;0;0;0;0;0;0;0.4;0.16;4;2;0
0;0;1;0;0;17.1;292.41;0;0;0;0.33;0.1089;0;0;0
0;0;1;15;1;0;0;0;0;0;0.5;0.25;0;0;0
6.3;0;0;0;0;0;0;0;0;0;0.33;0.1089;144;12;25.2
0;0;1;0;0;54.1;2926.81;0;0;0;0.2;0.04;0;0;0
0;0;0;1;0;11.2;125.44;2;0;0;0;0;0;0;0
0;0;1;7;0;0;0;0;0;0;1;1;0;0;0
0;0;1;15;0;0;0;1;0;0;0.4;0.16;25;5;0
36.1;0;0;0;1;7.6;57.76;0;0;0;0.33;0.1089;0;0;36.1
0;0;1;0;1;0.5;0.25;2;1;0;0.67;0.4489;0;0;0
0;0;1;1;0;16.8;282.24;0;0;0;1;1;0;0;0
0;0;0;0;0;0;0;0;0;0;0.33;0.1089;144;12;0
0;0;1;0;1;63;3969;0;0;0;0;0;0;0;0
0;0;0;0;0;52.6;2766.76;2;2;2;0;0;1;1;0
0;0;1;1;1;15.9;252.81;1;1;1;0.43;0.1849;0;0;0
0;0;1;6;0;0;0;0;0;0;0.5;0.25;0;0;0
0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
11.3;0;0;0;1;29.7;882.09;3;0;0;0.39;0.1521;0;0;11.3
0;1;1;1;0;0;0;0;0;0;0.5;0.25;0;0;0
0;0;1;0;1;3.8;14.44;3;2;2;0.44;0.1936;0;0;0
0;0;1;8;0;0;0;0;0;0;0;0;0;0;0
0;0;1;9;1;0;0;0;0;0;0;0;0;0;0
0;0;0;1;0;0;0;2;1;1;0;0;0;0;0
0;0;1;0;0;91.5;8372.25;0;0;0;0.57;0.3249;0;0;0
0;0;0;13;1;1.8;3.24;2;1;1;0.41;0.1681;0;0;0
0;1;0;0;0;144;20736;1;1;1;0;0;0;0;0
0;0;0;0;1;45.6;2079.36;0;0;0;0.1;0.01;0;0;0
0;0;1;0;0;66.5;4422.25;0;0;0;1;1;0;0;0
0;0;1;0;1;6.2;38.44;1;1;0;0.83;0.6889;0;0;0
0;0;1;0;0;90.1;8118.01;1;1;0;0;0;0;0;0
0;1;1;2;0;0;0;0;0;0;0.33;0.1089;64;8;0
0;0;0;0;0;169.3;28662.49;0;0;0;0;0;0;0;0
0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
0;0;0;11;0;0;0;0;0;0;0.5;0.25;0;0;0
0;0;1;0;1;0;0;0;0;0;0.33;0.1089;144;12;0
0;1;1;1;0;0;0;1;0;0;0.33;0.1089;0;0;0
6.2;0;1;5;0;0;0;0;0;0;0.6;0.36;0;0;6.2
0;0;1;13;0;17.2;295.84;1;0;1;0;0;0;0;0
0;0;0;12;0;3.3;10.89;0;0;0;1;1;0;0;0
0;0;0;9;0;0;0;1;0;0;0;0;0;0;0
12.9;1;1;1;0;0;0;1;1;0;0.33;0.1089;36;6;25.8
0;0;1;0;0;103.7;10753.69;0;0;0;0;0;0;0;0
11.8;1;0;0;0;0;0;0;0;0;1;1;144;12;35.4
5.6;0;1;0;0;60.7;3684.49;0;0;0;0.5;0.25;0;0;5.6
0;0;0;0;1;51.8;2683.24;1;1;0;0.5;0.25;0;0;0
0;1;1;1;0;0;0;3;2;0;0;0;0;0;0
0;0;0;8;1;0;0;3;2;1;0.5;0.25;0;0;0
0;0;1;15;0;46.2;2134.44;0;0;0;1;1;0;0;0
0;0;0;0;0;3.8;14.44;0;0;0;0.25;0.0625;0;0;0
0;0;1;3;0;14.3;204.49;1;1;0;1;1;0;0;0
0;0;1;0;1;0.9;0.8099999;1;0;0;0.33;0.1089;0;0;0
0;0;0;12;1;0;0;0;0;0;0.43;0.1849;0;0;0
0;0;0;0;1;58.2;3387.24;0;0;0;0.25;0.0625;0;0;0
