code;experience;age;ranking;default_prin;default_int;default_both1;default;wpcentral;wpcity;wpcompany;wpother;wpdirector;wpmanager;wpspecialist;wpothers;cash;home100;liveparent;rent;newcustomer;notran;notran3;income2;spending2
20342658;120;36;BBB;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;2.3;1.9
20232993;31;37;A;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;15.7;8
20884955;108;36;BBB;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;2.3;1
20822935;32;24;BBB;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;2.8;20
20143168;18;30;AAA;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;1;0;0;3;11
20880637;46;26;BBB;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;5;8
20143518;24;28;AA;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;10;8
20132037;60;29;AA;1;0;0;1;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;5;30
20101407;80;31;A;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;4;14
20493455;168;35;A;1;1;1;1;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;3.02;13
20044138;24;36;AA;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;1;0;0;2.54;21.04
20878852;216;40;BBB;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;6;9
20247540;12;24;A;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;3.65;5
20248745;60;27;A;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;3.52;17.5
20447220;24;25;BBB;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;7.2;10.7
20776466;36;27;AA;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;11;9
20039186;32;27;A;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;4.5;5.49
20143168;18;29;A;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;3.2;9.2
20540768;108;30;BBB;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;2.33;3.33
20406829;120;32;A;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;12;14
20584601;67;34;A;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;10;15
20351904;240;48;A;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;4;3.5
20467527;336;51;AA;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;8.2;21
20723803;360;56;A;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;3.5;2
20054469;14;24;A;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;3.5;8.5
20216831;36;26;A;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;4;7
20214219;60;30;BBB;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;2;8
20911879;40;30;BBB;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;6;8
20349344;84;31;BBB;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;2;0.06
20807695;48;23;BBB;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;3.5;1.5
20812768;36;28;BB;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;2.45;3
20122528;120;34;BBB;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;2.5;2
20811683;89;48;BBB;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;20;15
20274784;72;28;A;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;6.86;17.86
20238891;72;28;A;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;5;9
20353905;72;31;AA;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;14;18
20860252;106;31;BBB;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;2.4;8
20873343;84;31;A;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;3.7;4
20583689;27;32;AA;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;11;8
20501525;24;23;A;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;3;17
20247540;10;23;BBB;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;3.78;6.28
20545053;17;24;A;1;1;1;1;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;3.5;28.5
20092537;24;24;A;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;5.31;3.31
20256300;12;24;A;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;4.5;9
20191453;14;24;A;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;4.13;20
20491402;48;25;A;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;6;15
