TIME	GDP	PCE	PDI	PROFIT	DIVIDENT
1970Q1	2872.8	1800.5	1990.6	44.7	24.5
1970Q2	2860.3	1807.5	2020.1	44.4	23.9
1970Q3	2896.6	1824.7	2045.3	44.9	23.3
1970Q4	2873.7	1821.2	2045.2	42.1	23.1
1971Q1	2942.9	1849.9	2073.9	48.8	23.8
1971Q2	2947.4	1863.5	2098	50.7	23.7
1971Q3	2966	1876.9	2106.6	54.2	23.8
1971Q4	2980.8	1904.6	2121.1	55.7	23.7
1972Q1	3037.3	1929.3	2129.7	59.4	25
1972Q2	3089.7	1963.3	2149.1	60.1	25.5
1972Q3	3125.8	1989.1	2193.9	62.8	26.1
1972Q4	3175.5	2032.1	2272	68.3	26.5
1973Q1	3253.3	2063.9	2300.7	79.1	27
1973Q2	3267.6	2062	2315.2	81.2	27.8
1973Q3	3264.3	2073.7	2337.9	81.3	28.3
1973Q4	3289.1	2067.4	2382.7	85	29.4
1974Q1	3259.4	2050.8	2334.7	89	29.8
1974Q2	3267.6	2059	2304.5	91.2	30.4
1974Q3	3239.1	2065.5	2315	97.1	30.9
1974Q4	3226.4	2039.9	2313.7	86.8	30.5
1975Q1	3154	2051.8	2282.5	75.8	30
1975Q2	3190.4	2086.9	2390.3	81	29.7
1975Q3	3249.9	2114.4	2354.4	97.8	30.1
1975Q4	3292.5	2137	2389.4	103.4	30.6
1976Q1	3356.7	2179.3	2424.5	108.4	32.6
1976Q2	3369.2	2194.7	2434.9	109.2	35
1976Q3	3381	2213	2444.7	110	36.6
1976Q4	3416.3	2242	2459.5	110.3	38.3
1977Q1	3466.4	2271.3	2463	121.5	39.2
1977Q2	3525	2280.8	2490.3	129.7	40
1977Q3	3574.4	2302.6	2541	135.1	41.4
1977Q4	3567.2	2331.6	2556.2	134.8	42.4
1978Q1	3591.8	2347.1	2587.3	137.5	43.5
1978Q2	3707	2394	2631.9	154	44.5
1978Q3	3735.6	2404.5	2653.2	158	46.6
1978Q4	3779.6	2421.6	2680.9	167.8	48.9
1979Q1	3780.8	2437.9	2699.2	168.2	50.5
1979Q2	3784.3	2435.4	2697.6	174.1	51.8
1979Q3	3807.5	2454.7	2715.3	178.1	52.7
1979Q4	3814.6	2465.4	2728.1	173.4	54.5
1980Q1	3830.8	2464.6	2742.9	174.3	57.6
1980Q2	3732.6	2414.2	2692	144.5	58.7
1980Q3	3733.5	2440.3	2722.5	151	59.3
1980Q4	3808.5	2469.2	2777	154.6	60.5
1981Q1	3860.5	2475.5	2783.7	159.5	64
1981Q2	3844.4	2476.1	2776.7	143.7	68.4
1981Q3	3864.5	2487.4	2814.1	147.6	71.9
1981Q4	3803.1	2468.6	2808.8	140.3	72.4
1982Q1	3756.1	2484	2795	114.4	70
1982Q2	3771.1	2488.9	2824.8	114	68.4
1982Q3	3754.4	2502.5	2829	114.6	69.2
1982Q4	3759.6	2539.3	2832.6	109.9	72.5
1983Q1	3783.5	2556.5	2843.6	113.6	77
1983Q2	3886.5	2604	2867	133	80.5
1983Q3	3944.4	2639	2903	145.7	83.1
1983Q4	4012.1	2678.2	2960.6	141.6	84.2
1984Q1	4089.5	2703.8	3033.2	155.1	83.3
1984Q2	4144	2741.1	3065.9	152.6	82.2
1984Q3	4166.4	2754.6	3102.7	141.8	81.7
1984Q4	4194.2	2784.8	3118.5	136.3	83.4
1985Q1	4221.8	2824.9	3123.6	125.2	87.2
1985Q2	4254.8	2849.7	3189.6	124.8	90.8
1985Q3	4309	2893.3	3156.5	129.8	94.1
1985Q4	4333.5	2895.3	3178.7	134.2	97.4
1986Q1	4390.5	2922.4	3227.5	109.2	105.1
1986Q2	4387.7	2947.9	3281.4	106	110.7
1986Q3	4412.6	2993.7	3272.6	111	112.3
1986Q4	4427.1	3012.5	3266.2	119.2	111
1987Q1	4460	3011.5	3295.2	140.2	108
1987Q2	4515.3	3046.8	3241.7	157.9	105.5
1987Q3	4559.3	3075.8	3285.7	169.1	105.1
1987Q4	4625.5	3074.6	3335.8	176	106.3
1988Q1	4655.3	3128.2	3380.1	195.5	109.6
1988Q2	4704.8	3147.8	3386.3	207.2	113.3
1988Q3	4734.5	3170.6	3407.5	213.4	117.5
1988Q4	4779.7	3202.9	3443.1	226	121
1989Q1	4809.8	3200.9	3473.9	221.3	124.6
1989Q2	4832.4	3208.6	3450.9	206.2	127.1
1989Q3	4845.6	3241.1	3466.9	195.7	129.1
1989Q4	4859.7	3241.6	3493	203	130.7
1990Q1	4880.8	3258.8	3531.4	199.1	132.3
1990Q2	4900.3	3258.6	3545.3	193.7	132.5
1990Q3	4903.3	3281.2	3547	196.3	133.8
1990Q4	4855.1	3251.8	3529.5	199	136.2
1991Q1	4824	3241.1	3514.8	189.7	137.8
1991Q2	4840.7	3252.4	3537.4	182.7	136.7
1991Q3	4862.7	3271.2	3539.9	189.6	138.1
1991Q4	4868	3271.1	3547.5	190.3	138.5
