Date	gdp1	gdp2
2004Q1	137.07	71.242
2004Q2	182.105	96.036
2004Q3	173.231	89.771
2004Q4	220.665	105.487
2005Q1	164.243	76.478
2005Q2	216.026	103.546
2005Q3	206.829	97.945
2005Q4	128.209	115.013
2006Q1	184.359	81.953
2006Q2	242.186	111.354
2006Q3	248.29	106.458
2006Q4	164.376	125.372
2007Q1	210.878	88.338
2007Q2	282.577	120.262
2007Q3	293.776	115.615
2007Q4	356.211	137.219
2008Q1	254.086	94.922
2008Q2	371.652	127.169
2008Q3	390.765	122.528
2008Q4	462.192	145.23
2009Q1	311.136	97.961
2009Q2	420.464	132.743
2009Q3	425.477	129.874
2009Q4	488.404	156.007
2010Q1	362.895	103.683
2010Q2	492.305	141.29
2010Q3	508.996	139.206
2010Q4	616.718	167.405
2011Q1	441.707	109.457
2011Q2	628.223	149.324
2011Q3	640.284	147.816
2011Q4	824.794	177.888
2012Q1	545.767	113.835
2012Q2	706.81	156.28
2012Q3	720.208	155.713
2012Q4	977.899	188.056
2013Q1	683.668	119.259
2013Q2	830.435	164.092
2013Q3	906.778	164.344
2013Q4	1163.38	199.487
2014Q1	756.566	125.295
2014Q2	911.612	172.837
2014Q3	1004.792	174.358
2014Q4	1264.886	213.388
2015Q1	808.883	132.967
2015Q2	970.287	184.005
2015Q3	1072.22	186.345
2015Q4	1341.472	228.383
2016Q1	850.315	140.26
2016Q2	1029.558	194.603
2016Q3	1157.955	198.619
2016Q4	1415.445	243.658
2017Q1	931.607	147.413
2017Q2	1127.215	206.638
2017Q3	1272.433	213.627
2017Q4	1676.602	262.385
2018Q1	1027.928	158.292
2018Q2	1242.22	220.825
2018Q3	1414.237	228.325
2018Q4	1851.928	281.565
2019Q1	1116.68	169.04
2019Q2	1366.899	235.643
2019Q3	1539.114	245.015
2019Q4	2010.887	301.186
2020Q1	1188.207	175.499
2020Q2	1382.995	236.492
2020Q3	1593.586	251.432
2020Q4	2121.415	314.665
