I	R	M	Y
78.8	4.46	140	494.210743
78.7	3.98	140.7	513.3584
77.9	3.54	145.2	531.749348
87.9	3.47	147.9	571.52517
93.4	3.67	153.4	603.1098
101.7	4.03	160.4	647.945552
118	4.22	167.9	702.758752
130.4	5.23	172.1	769.685085
128	5.03	183.3	814.286944
139.9	5.68	197.5	889.30035
155.2	7.02	204	959.549488
150.3	7.29	214.5	1010.678592
175.5	5.65	228.4	1097.236836
205.6	5.72	249.3	1207.063
243.1	6.95	262.9	1349.627552
245.8	7.82	274.4	1458.570462
226	7.49	287.6	1585.948483
286.4	6.77	306.4	1768.459374
358.3	6.69	331.3	1974.009729
434	8.29	358.4	2232.746241
480.2	9.71	382.8	2488.54683
467.6	11.55	408.8	2707.98678
558	14.44	436.4	3030.565053
503.4	12.92	474.4	3149.574364
546.7	10.45	521.2	3404.991106
718.9	11.89	552.2	3777.087354
714.5	9.64	619.9	4038.68983
717.6	7.06	724.3	4268.654885
749.3	7.68	749.7	4540.02484
793.6	8.26	786.4	4900.389442
837.6	8.55	793.6	5243.99638
802.6	8.26	825.4	5513.823552
