GOOD	INF	LAND	LINFDEC	LINFDEC01	LLAND	LOPEN	LPCINC	OIL	OPEN	OPENDEC	PCINC
0	9.9	919595	2.292535	-2.312635	13.73169	3.446808	7.599902	0	31.4	0.314	1998
1	117	1072067	4.762174	0.1570037	13.8851	2.24071	8.37609	0	9.4	0.094	4342
1	9.5	2966150	2.251292	-2.353878	14.90278	2.815409	9.029897	0	16.7	0.167	8349
1	5	32375	1.609438	-2.995732	10.38514	3.572345	9.015541	0	35.6	0.356	8230
0	4.8	240	1.568616	-3.036554	5.480639	4.510859	9.125327	1	91	0.91	9185
0	12.9	55598	2.557227	-2.047943	10.9259	2.833213	6.291569	0	17	0.17	540
0	10.7	166	2.370244	-2.234926	5.111988	4.287716	8.401558	0	72.8	0.728	4454
1	6	11781	1.791759	-2.813411	9.374244	4.074142	9.129997	0	58.8	0.588	9228
0	10.3	43483	2.332144	-2.273026	10.68013	3.660994	6.280396	0	38.9	0.389	534
1	206.7	424162	5.331268	0.7260982	12.95787	3.144152	7.332369	0	23.2	0.232	1529
1	10.1	231800	2.312536	-2.292635	12.35363	4.195697	7.297768	0	66.4	0.664	1477
1	74.1	3286470	4.305416	-0.2997547	15.00532	2.00148	8.118505	0	7.4	0.074	3356
0	8.8	105870	2.174752	-2.430418	11.56997	3.706228	5.880533	0	40.7	0.407	358
0	5.5	261220	1.704748	-2.900422	12.47312	2.186051	6.180017	0	8.9	0.089	483
0	8.3	10747	2.116256	-2.488915	9.282382	2.970414	5.808143	0	19.5	0.195	333
0	10.2	183569	2.322388	-2.282783	12.12035	3.190476	6.774224	0	24.3	0.243	875
1	7.1	3851809	1.960095	-2.645075	15.16405	3.198673	9.335386	0	24.5	0.245	11332
0	10.7	241313	2.370244	-2.234926	12.39385	2.631889	6.188264	0	13.9	0.139	487
1	59.4	292132	4.084294	-0.5208759	12.58496	3.139833	8.359603	0	23.1	0.231	4271
1	21.6	439735	3.072693	-1.532477	12.99393	2.617396	7.844633	0	13.7	0.137	2552
0	10.9	132046	2.388763	-2.216408	11.79091	4.007333	6.888573	0	55	0.55	981
1	20.6	19652	3.025291	-1.579879	9.885935	3.632309	8.016648	0	37.8	0.378	3031
1	8.9	3572	2.186051	-2.419119	8.180881	4.094345	8.362176	0	60	0.6	4282
1	8.1	16631	2.091864	-2.513306	9.719024	3.50255	9.16931	0	33.2	0.332	9598
1	12.1	18704	2.493206	-2.111965	9.836493	3.063391	7.532624	0	21.4	0.214	1868
1	20.4	109484	3.015535	-1.589635	11.60353	3.218876	7.865955	0	25	0.25	2607
0	8.9	386900	2.186051	-2.419119	12.86592	3.493473	6.902743	0	32.9	0.329	995
1	13.1	8260	2.572612	-2.032558	9.01918	3.508556	7.251345	0	33.4	0.334	1410
0	4.4	472432	1.481605	-3.123566	13.06565	2.895912	5.783825	0	18.1	0.181	325
1	9.5	7078	2.251292	-2.353878	8.864747	3.893859	8.008033	0	49.1	0.491	3005
1	9.4	130119	2.24071	-2.36446	11.77621	3.353407	9.035153	0	28.6	0.286	8393
1	8.9	211208	2.186051	-2.419119	12.2606	3.049273	9.178643	0	21.1	0.211	9688
0	13.3	103346	2.587764	-2.017406	11.54584	3.535145	7.997327	1	34.3	0.343	2973
0	14.9	4093	2.701361	-1.903809	8.317034	4.034241	6.320768	0	56.5	0.565	556
1	3.8	96010	1.335001	-3.270169	11.47221	3.280911	9.189628	0	26.6	0.266	9795
0	38.2	92100	3.642836	-0.9623346	11.43063	2.572612	6.042633	0	13.1	0.131	421
1	16.2	50961	2.785011	-1.820159	10.83882	3.317816	8.385489	0	27.6	0.276	4383
1	11.7	42042	2.459589	-2.145581	10.64642	3.086487	7.57661	0	21.9	0.219	1952
0	11.8	83000	2.4681	-2.137071	11.3266	4.278054	7.392032	0	72.1	0.721	1623
0	6	10714	1.791759	-2.813411	9.279306	3.538057	6.54535	0	34.4	0.344	696
1	7.1	43277	1.960095	-2.645075	10.67538	3.572345	6.980076	0	35.6	0.356	1075
0	8.3	398	2.116256	-2.488915	5.986452	4.403054	8.891236	0	81.7	0.817	7268
1	35.1	39709	3.558201	-1.046969	10.58933	3.671225	9.136155	0	39.3	0.393	9285
1	7.8	1229737	2.054124	-2.551046	14.02231	2.091864	6.419995	0	8.1	0.081	614
1	14.5	735268	2.674149	-1.931022	13.50799	3.08191	6.968851	0	21.8	0.218	1063
0	16.2	636293	2.785011	-1.820159	13.36341	2.906901	7.987525	1	18.3	0.183	2944
1	11.1	26600	2.406945	-2.198225	10.18867	4.036009	8.502892	0	56.6	0.566	4929
1	75.3	8020	4.32148	-0.28369	8.989694	4.051785	8.723394	0	57.5	0.575	6145
1	13.8	116500	2.624669	-1.980502	11.66565	3.131137	8.876823	0	22.9	0.229	7164
0	10.6	124502	2.360854	-2.244316	11.73208	3.610918	7.012115	0	37	0.37	1110
1	16.8	4411	2.821379	-1.783791	8.391857	3.897924	7.527256	0	49.3	0.493	1858
1	4.3	143574	1.458615	-3.146555	11.87461	2.557227	9.153453	0	12.9	0.129	9447
0	7.9	37297	2.066863	-2.538307	10.52667	4.549657	7.541683	0	94.6	0.946	1885
1	10.3	224960	2.332144	-2.273026	12.32368	3.465736	6.495265	0	32	0.32	662
1	13	38031	2.564949	-2.040221	10.54616	3.591818	7.770223	0	36.3	0.363	2369
0	9.6	6880	2.261763	-2.343407	8.836374	3.64545	9.875808	1	38.3	0.383	19454
0	10.7	11720	2.370244	-2.234926	9.369052	4.768988	6.542472	0	117.8	1.178	694
0	7.8	43000	2.054124	-2.551046	10.66896	4.01998	6.522093	0	55.7	0.557	680
1	6.1	999	1.808289	-2.796881	6.906755	4.337291	9.227492	0	76.5	0.765	10173
0	13.2	226660	2.580217	-2.024953	12.33121	3.12676	6.378426	0	22.8	0.228	589
0	11.1	45747	2.406945	-2.198225	10.73088	3.523415	6.033086	0	33.9	0.339	417
1	4.6	128328	1.526056	-3.079114	11.76234	3.945458	8.043021	0	51.7	0.517	3112
1	4.2	122	1.435084	-3.170086	4.804021	4.517431	8.440312	0	91.6	0.916	4630
0	9.9	397953	2.292535	-2.312635	12.89409	4.200205	6.356108	0	66.7	0.667	576
0	13.3	787	2.587764	-2.017406	6.668228	4.044804	7.302496	0	57.1	0.571	1484
1	32.8	761600	3.490428	-1.114742	13.54318	2.379546	8.374016	0	10.8	0.108	4333
1	8.4	172413	2.128232	-2.476938	12.05765	3.446808	7.089243	0	31.4	0.314	1199
0	9	54463	2.197225	-2.407946	10.90528	2.923162	6.194406	0	18.6	0.186	490
1	4.6	16041	1.526056	-3.079114	9.682903	3.925926	9.108972	0	50.7	0.507	9036
1	11.6	103884	2.451005	-2.154165	11.55103	3.427515	8.904222	0	30.8	0.308	7363
0	41.5	50180	3.725693	-0.8794768	10.82337	3.462606	7.606884	0	31.9	0.319	2012
0	13.8	489206	2.624669	-1.980502	13.10054	3.48124	6.089045	0	32.5	0.325	441
0	15.1	356700	2.714695	-1.890475	12.78465	2.879198	6.71417	0	17.8	0.178	824
1	7.7	125049	2.04122	-2.56395	11.73646	3.754199	9.314159	0	42.7	0.427	11094
0	10.4	82030	2.341806	-2.263364	11.31484	3.730501	8.733755	1	41.7	0.417	6209
1	9.7	310400	2.272126	-2.333044	12.64562	3.00072	6.896694	0	20.1	0.201	989
1	5.4	29761	1.686399	-2.918771	10.30095	3.772761	7.94094	0	43.5	0.435	2810
0	7.1	178704	1.960095	-2.645075	12.09349	3.899951	7.331715	0	49.4	0.494	1528
1	15.7	157047	2.753661	-1.851509	11.9643	3.086487	7.590347	0	21.9	0.219	1979
1	49.5	496222	3.901973	-0.7031975	13.11478	3.015535	7.806289	0	20.4	0.204	2456
1	13.1	115830	2.572612	-2.032558	11.65988	3.11795	7.346655	0	22.6	0.226	1551
1	18.7	35550	2.928524	-1.676647	10.4787	3.650658	8.224967	0	38.5	0.385	3733
0	10.1	10169	2.312536	-2.292635	9.227099	2.923162	5.937536	0	18.6	0.186	379
0	10	865000	2.302585	-2.302585	13.67048	3.563883	9.314791	1	35.3	0.353	11101
0	10.6	75954	2.360854	-2.244316	11.23788	3.815512	6.612041	0	45.4	0.454	744
0	20.1	27700	3.00072	-1.60445	10.22919	3.258096	6.238325	0	26	0.26	512
0	3.6	220	1.280934	-3.324236	5.393628	5.098646	8.66854	0	163.8	1.638	5817
0	26.9	246199	3.292126	-1.313044	12.4139	2.912351	6.028278	0	18.4	0.184	415
1	12.9	471440	2.557227	-2.047943	13.06355	3.238678	8.36311	0	25.5	0.255	4286
1	13.7	194885	2.617396	-1.987774	12.18017	2.906901	8.721113	0	18.3	0.183	6131
1	12.4	25332	2.517696	-2.087474	10.13982	3.64545	7.020191	0	38.3	0.383	1119
0	21.2	967491	3.054001	-1.551169	13.78246	2.76001	6.480044	0	15.8	0.158	652
0	9.4	63251	2.24071	-2.36446	11.05487	4.053523	8.232174	0	57.6	0.576	3760
0	13.6	6704	2.61007	-1.9951	8.81046	4.355426	6.98379	0	77.9	0.779	1079
1	8.9	173800	2.186051	-2.419119	12.06566	3.414443	9.089641	0	30.4	0.304	8863
1	3.8	15941	1.335001	-3.270169	9.67665	3.54674	9.211639	0	34.7	0.347	10013
1	13.5	71498	2.60269	-2.002481	11.17742	3.394508	8.029758	0	29.8	0.298	3071
