ID	AGE	CITY	EDUC	EXPER	EXPERSQ	FAMINC	FATHEDUC	HOURS	HUSAGE	HUSEDUC	HUSHRS	INLF	HUSWAGE	WAGE	UNEM	NWIFEINC	MTR	MOTHEDUC	LWAGE	KIDSLT6	KIDSGE6	REPWAGE
1	32	0	12	14	196	16310	7	1610	34	12	2708	1	4.0288	3.354	5	10.91006	0.7215	12	1.210154	1	0	2.65
2	30	1	12	5	25	21800	7	1656	30	9	2310	1	8.4416	1.3889	11	19.49998	0.6615	7	0.3285121	0	2	2.65
3	35	0	12	15	225	21040	7	1980	40	12	3072	1	3.5807	4.5455	5	12.03991	0.6915	12	1.514138	1	3	4.04
4	34	0	12	6	36	7300	7	456	53	10	1920	1	3.5417	1.0965	5	6.799996	0.7815	7	0.0921233	0	3	3.25
5	31	1	14	7	49	27300	14	1568	32	12	2000	1	10	4.5918	9.5	20.10006	0.6215	12	1.524272	1	2	3.6
6	54	1	12	33	1089	19495	7	2032	57	11	1040	1	6.7106	4.7421	7.5	9.859054	0.6915	14	1.55648	0	0	4.7
7	37	0	16	11	121	21152	7	1440	37	12	2670	1	3.4277	8.3333	5	9.152048	0.6915	14	2.12026	0	2	5.95
8	54	0	12	35	1225	18900	3	1020	53	8	4120	1	2.5485	7.8431	5	10.90004	0.6915	3	2.059634	0	0	9.98
9	48	0	12	24	576	20405	7	1458	52	4	1995	1	4.2206	2.1262	3	17.305	0.7515	7	0.7543364	0	2	0
10	39	0	12	21	441	20425	7	1600	43	12	2100	1	5.7143	4.6875	5	12.925	0.6915	7	1.544899	0	2	4.15
11	33	0	12	15	225	32300	3	1969	34	12	2450	1	9.7959	4.063	5	24.29995	0.5815	12	1.401922	0	1	4.3
12	42	0	11	14	196	28700	7	1960	47	14	2375	1	8	4.5918	5	19.70007	0.6215	14	1.524272	0	1	4.58
13	30	0	12	0	0	15500	16	240	33	16	2830	1	5.3004	2.0833	5	15.00001	0.7215	16	0.7339532	1	2	0
14	43	1	12	14	196	16860	10	997	46	12	3317	1	4.3413	2.2668	7.5	14.6	0.7215	10	0.8183691	0	2	3.5
15	43	1	10	6	36	31431	7	1848	45	17	2024	1	10.87	3.6797	7.5	24.63091	0.5815	7	1.302831	0	1	3.38
16	35	1	11	9	81	19180	10	1224	38	12	1694	1	9.1499	1.3472	7.5	17.53103	0.7215	16	0.2980284	0	3	0
17	43	1	12	20	400	18600	7	1400	45	12	2156	1	6.1224	3.2143	7.5	14.09998	0.6915	10	1.16761	0	2	4
18	39	1	12	6	36	19151	12	640	40	12	2250	1	6.1498	5.175	7.5	15.839	0.7215	12	1.643839	0	5	2.25
19	45	1	12	23	529	18100	7	2000	51	11	2024	1	6.917	2	5	14.1	0.6915	7	0.6931472	0	0	2.3
20	35	0	12	9	81	20300	7	1324	40	10	2123	1	4.7103	7.5529	5	10.29996	0.6915	12	2.021932	0	4	3.94
21	42	0	16	5	25	30419	16	2215	48	16	4160	1	3.131	3.5052	7.5	22.65498	0.6215	10	1.254248	0	2	3.3
22	30	0	12	11	121	14090	10	1680	35	12	2000	1	4	3.5714	3	8.090048	0.7215	12	1.272958	0	0	3.8
23	48	1	13	18	324	22679	3	1600	52	17	2420	1	7.2227	3.25	5	17.479	0.6615	7	1.178655	0	0	3.26
24	45	0	12	15	225	12160	7	800	53	17	1150	1	7.9652	3.25	11	9.56	0.7215	7	1.178655	0	0	2.2
25	31	1	12	4	16	12487	7	1955	31	12	2024	1	4.0884	2.1545	5	8.274953	0.7515	12	0.7675587	1	1	2.3
26	43	1	17	21	441	29850	14	660	43	17	1904	1	14.181	3.7879	9.5	27.34999	0.5815	16	1.331812	0	2	0
27	59	1	12	31	961	18100	7	525	53	16	2448	1	6.5359	4	9.5	16	0.6915	3	1.386294	0	0	3.18
28	32	1	12	9	81	26000	7	1904	33	13	2000	1	8.5	4.7269	11	16.99998	0.6615	3	1.55327	0	3	6.07
29	31	0	17	7	49	26100	12	1516	30	17	2390	1	6.2762	7.2559	5	15.10006	0.6215	12	1.981815	1	0	6
30	42	0	12	7	49	17730	12	346	47	10	1920	1	5.2083	5.8671	9.5	15.69998	0.7215	12	1.76936	0	0	6.39
31	50	1	11	32	1024	6719	7	1040	53	10	1840	1	2.7821	1.5385	7.5	5.11896	0.7515	7	0.4308079	0	0	0
32	59	1	16	11	121	18550	3	732	57	17	3360	1	4.9107	2.459	14	16.75001	0.6915	3	0.8997548	0	0	2.5
33	36	0	13	16	256	24600	10	1880	35	13	2284	1	5.8669	5.8511	7.5	13.59993	0.6615	12	1.76663	0	2	5.2
34	51	1	12	14	196	23100	14	1680	50	8	1875	1	7.52	3.5714	5	17.10005	0.6915	7	1.272958	0	1	3.29
35	45	1	16	27	729	24656	12	2081	47	17	2140	1	7.5449	3.8068	5	16.73405	0.6615	12	1.336789	0	3	4.19
36	42	0	11	0	0	15897	3	690	44	8	1896	1	5.538	2.4638	7.5	14.19698	0.7515	10	0.9017048	0	1	0
37	46	1	12	17	289	20320	3	4210	49	16	1040	1	6.9231	2.3753	11	10.31999	0.6915	3	0.8651237	0	0	4.63
38	46	0	10	28	784	21384	3	2205	52	12	2200	1	5	4.5351	11	11.3841	0.6615	10	1.511847	0	1	4.55
